State,EOF,INT,SEMI,COMMA,ID,ASSIGN,INT_NUM,LSQUARE,RSQUARE,LBRACE,RBRACE,ELSE,IF,LPAR,RPAR,WHILE,DO,RETURN,READ,WRITE,OROR,ANDAND,OR_OP,AND_OP,EQ,NOTEQ,LT,GT,LTEQ,GTEQ,SHL_OP,SHR_OP,PLUS,MINUS,MUL_OP,DIV_OP,NOT_OP,$,program,var_declarations,var_declaration,declaration_list,declaration,code_block,statements,statement,control_statement,read_write_statement,assign_statement,if_statement,if_stmt,while_statement,do_while_statement,return_statement,read_statement,write_statement,exp,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,exp11
353,,,r13,,r13,,,,,,r13,r13,r13,,,r13,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,r15,,r15,,,,,,r15,r15,r15,,,r15,r15,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,r19,,r19,,,,,,r19,r19,r19,,,r19,r19,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,r20,,r20,,,,,,r20,r20,r20,,,r20,r20,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,s335,,s10,,,,,s331,,,s126,,,s341,s19,s20,s21,s22,,,,,,,,,,,,,,,,,,,,,,,,364,,330,333,334,332,336,340,337,338,339,15,16,,,,,,,,,,,,
358,,,,,s110,,s111,,,,,,,s112,,,,,,,,,,,,,,,,,,,,s108,,,s107,,,,,,,,,,,,,,,,,,,,365,97,98,99,100,101,102,103,104,105,106,109
359,,,,,,,,,,,,r10,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,r26,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,s366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,,s291,,s10,,,,,s287,,,s23,,,s297,s19,s20,s21,s22,,,,,,,,,,,,,,,,,,,,,,,,367,,286,289,290,288,292,296,293,294,295,15,16,,,,,,,,,,,,
363,,,r10,,r10,,,,,,r10,r10,r10,,,r10,r10,r10,r10,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,r26,,r26,,,,,,r26,r26,r26,,,r26,r26,r26,r26,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,s368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,s313,,s10,,,,,s309,,,s51,,,s319,s19,s20,s21,s22,,,,,,,,,,,,,,,,,,,,,,,,369,,308,311,312,310,314,318,315,316,317,15,16,,,,,,,,,,,,
367,r28,,r28,,r28,,,,,,,r28,r28,,,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,s335,,s10,,,,,s331,,,s126,,,s341,s19,s20,s21,s22,,,,,,,,,,,,,,,,,,,,,,,,370,,330,333,334,332,336,340,337,338,339,15,16,,,,,,,,,,,,
369,,,,,,,,,,,,r28,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,r28,,r28,,,,,,r28,r28,r28,,,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
