State,EOF,INT,SEMI,COMMA,ID,ASSIGN,INT_NUM,LSQUARE,RSQUARE,LBRACE,RBRACE,IF,LPAR,RPAR,ELSE,WHILE,DO,RETURN,READ,WRITE,OROR,ANDAND,OR_OP,AND_OP,EQ,NOTEQ,LT,GT,LTEQ,GTEQ,SHL_OP,SHR_OP,PLUS,MINUS,MUL_OP,DIV_OP,NOT_OP,$,program,var_declarations,var_declaration,declaration_list,declaration,code_block,statements,statement,control_statement,read_write_statement,assign_statement,if_statement,if_stmt,while_statement,do_while_statement,return_statement,read_statement,write_statement,exp,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,exp11,
72,,,,,,,,s154,r64,,,,,,,,,,,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,r63,,,,,,,,,,,,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,s106,,s107,,,,,,s108,,,,,,,,,,,,,,,,,,,,,s104,,,s103,,,,,,,,,,,,,,,,,,,,155,93,94,95,96,97,98,99,100,101,102,105,
75,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,r33,,,,,,,,,,,,,,,,,,s156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,r35,,,,,,,,,,,,,,,,,,r35,s157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,r37,,,,,,,,,,,,,,,,,,r37,r37,s158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,r39,,,,,,,,,,,,,,,,,,r39,r39,r39,s159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,r41,,,,,,,,,,,,,,,,,,r41,r41,r41,r41,s160,s161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,r44,,,,,,,,,,,,,,,,,,r44,r44,r44,r44,r44,r44,s162,s163,s164,s165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,r49,,,,,,,,,,,,,,,,,,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,s166,s167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,r52,,,,,,,,,,,,,,,,,,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,s168,s169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
